Geracao,Fitness
0,16582
1,16582
2,16582
3,16582
4,16582
5,16582
6,16582
7,16582
8,16582
9,16582
10,16582
11,16582
12,16582
13,16463
14,16463
15,16312
16,15972
17,15972
18,15802
19,15802
20,15643
21,15643
22,15643
23,15542
24,15493
25,14862
26,14862
27,14862
28,14862
29,14862
30,14862
31,14862
32,14432
33,14282
34,14282
35,14282
36,14282
37,14282
38,14282
39,14282
40,14282
41,14282
42,14282
43,14017
44,13957
45,13957
46,13957
47,13867
48,13867
49,13757
50,13497
51,13497
52,13497
53,13247
54,13247
55,13247
56,13247
57,13247
58,13247
59,13247
60,13107
61,13107
62,13107
63,13062
64,13062
65,13062
66,12747
67,12747
68,12747
69,12747
70,12747
71,12747
72,12442
73,12442
74,12442
75,12442
76,12317
77,12317
78,12317
79,12317
80,12317
81,12317
82,12317
83,11890
84,11890
85,11890
86,11890
87,11577
88,11577
89,11577
90,11577
91,11577
92,11577
93,11412
94,11412
95,11412
96,11382
97,11382
98,11382
99,11382
100,11382
101,11382
102,11287
103,11287
104,11287
105,11287
106,11287
107,11142
108,11142
109,11142
110,11142
111,11142
112,11142
113,11142
114,11062
115,10867
116,10867
117,10867
118,10778
119,10778
120,10570
121,10570
122,10497
123,10497
124,10435
125,10410
126,10257
127,10257
128,10145
129,10145
130,10145
131,10145
132,10135
133,10135
134,9855
135,9855
136,9855
137,9855
138,9555
139,9555
140,9555
141,9555
142,9555
143,9555
144,9555
145,9555
146,9555
147,9555
148,9555
149,9555
150,9555
151,9428
152,9428
153,9428
154,9428
155,9428
156,9423
157,9423
158,9423
159,9198
160,9198
161,9198
162,9188
163,9188
164,9188
165,9188
166,9118
167,8963
168,8963
169,8963
170,8963
171,8963
172,8963
173,8963
174,8928
175,8928
176,8863
177,8863
178,8532
179,8506
180,8506
181,8506
182,8506
183,8506
184,8506
185,8506
186,8506
187,8453
188,8408
189,8326
190,8326
191,8306
192,8306
193,8306
194,8218
195,8218
196,8218
197,8218
198,8218
199,8218
200,8103
201,8103
202,8073
203,8073
204,8073
205,8073
206,8066
207,8066
208,8066
209,7941
210,7923
211,7923
212,7923
213,7923
214,7923
215,7923
216,7758
217,7758
218,7758
219,7758
220,7758
221,7758
222,7758
223,7758
224,7758
225,7758
226,7758
227,7758
228,7628
229,7628
230,7628
231,7608
232,7608
233,7531
234,7531
235,7531
236,7531
237,7531
238,7516
239,7511
240,7493
241,7396
242,7396
243,7396
244,7396
245,7396
246,7246
247,7246
248,7246
249,7246
250,7246
251,7246
252,7246
253,7246
254,7246
255,7246
256,7246
257,7246
258,7246
259,7246
260,7241
261,7226
262,7226
263,7226
264,7226
265,7224
266,7224
267,7096
268,7076
269,7076
270,7076
271,7076
272,7076
273,7076
274,7076
275,6926
276,6926
277,6926
278,6916
279,6916
280,6906
281,6906
282,6906
283,6898
284,6898
285,6898
286,6898
287,6878
288,6878
289,6878
290,6878
291,6878
292,6878
293,6878
294,6873
295,6873
296,6713
297,6713
298,6708
299,6573
300,6573
301,6573
302,6573
303,6573
304,6573
305,6573
306,6573
307,6573
308,6573
309,6573
310,6573
311,6573
312,6573
313,6573
314,6548
315,6493
316,6493
317,6388
318,6388
319,6388
320,6388
321,6388
322,6388
323,6262
324,6262
325,6262
326,6262
327,6262
328,6262
329,6262
330,6262
331,6262
332,6262
333,6252
334,6252
335,6252
336,6252
337,6252
338,6099
339,6099
340,6099
341,6099
342,6099
343,6099
344,6099
345,6099
346,6099
347,6099
348,6099
349,6099
350,6099
351,6099
352,6099
353,6099
354,6099
355,6089
356,6089
357,6089
358,6089
359,6089
360,6069
361,6069
362,6069
363,6069
364,6069
365,6069
366,6069
367,6069
368,6069
369,6069
370,6049
371,6049
372,6049
373,6049
374,6049
375,6049
376,6049
377,6049
378,6049
379,6049
380,6004
381,6004
382,6004
383,6004
384,6004
385,5904
386,5904
387,5884
388,5884
389,5874
390,5871
391,5846
392,5846
393,5846
394,5836
395,5836
396,5836
397,5836
398,5836
399,5836
400,5836
401,5836
402,5836
403,5836
404,5836
405,5836
406,5836
407,5836
408,5836
409,5836
410,5836
411,5836
412,5836
413,5836
414,5836
415,5836
416,5836
417,5836
418,5836
419,5836
420,5836
421,5836
422,5836
423,5836
424,5701
425,5701
426,5701
427,5701
428,5701
429,5701
430,5701
431,5701
432,5696
433,5696
434,5696
435,5696
436,5696
437,5696
438,5696
439,5696
440,5696
441,5601
442,5601
443,5601
444,5601
445,5601
446,5601
447,5601
448,5601
449,5601
450,5596
451,5596
452,5596
453,5596
454,5596
455,5596
456,5596
457,5596
458,5596
459,5596
460,5596
461,5596
462,5596
463,5596
464,5596
465,5596
466,5596
467,5596
468,5596
469,5596
470,5596
471,5596
472,5596
473,5596
474,5596
475,5596
476,5596
477,5596
478,5596
479,5596
480,5596
481,5596
482,5596
483,5596
484,5596
485,5596
486,5596
487,5596
488,5596
489,5596
490,5596
491,5596
492,5596
493,5596
494,5596
495,5596
496,5596
497,5596
498,5596
499,5596
500,5596
501,5596
502,5596
503,5596
504,5596
505,5596
506,5596
507,5596
508,5596
509,5596
510,5576
511,5576
512,5576
513,5576
514,5576
515,5576
516,5576
517,5276
518,5276
519,5276
520,5276
521,5276
522,5276
523,5276
524,5276
525,5276
526,5276
527,5276
528,5276
529,5276
530,5276
531,5136
532,5116
533,5111
534,5111
535,5111
536,5111
537,5111
538,5111
539,5106
540,5106
541,5106
542,5106
543,5106
544,5106
545,5106
546,5092
547,5092
548,5051
549,5051
550,5051
551,5051
552,5051
553,5051
554,5051
555,5051
556,5051
557,5031
558,5031
559,4941
560,4941
561,4941
562,4941
563,4941
564,4941
565,4941
566,4941
567,4941
568,4941
569,4902
570,4902
571,4894
572,4894
573,4894
574,4894
575,4894
576,4894
577,4884
578,4884
579,4884
580,4884
581,4884
582,4884
583,4884
584,4884
585,4884
586,4884
587,4884
588,4884
589,4884
590,4884
591,4884
592,4884
593,4884
594,4884
595,4799
596,4799
597,4799
598,4799
599,4799
600,4796
601,4796
602,4796
603,4796
604,4796
605,4796
606,4796
607,4796
608,4747
609,4736
610,4736
611,4736
612,4736
613,4736
614,4687
615,4647
616,4642
617,4642
618,4642
619,4632
620,4632
621,4632
622,4632
623,4632
624,4632
625,4632
626,4632
627,4632
628,4632
629,4632
630,4632
631,4627
632,4627
633,4627
634,4627
635,4618
636,4618
637,4618
638,4618
639,4586
640,4586
641,4586
642,4586
643,4586
644,4586
645,4586
646,4586
647,4586
648,4586
649,4586
650,4576
651,4576
652,4576
653,4576
654,4576
655,4576
656,4576
657,4576
658,4566
659,4561
660,4561
661,4561
662,4561
663,4541
664,4541
665,4541
666,4541
667,4541
668,4541
669,4541
670,4541
671,4541
672,4541
673,4541
674,4541
675,4541
676,4531
677,4531
678,4531
679,4531
680,4531
681,4531
682,4531
683,4531
684,4411
685,4411
686,4411
687,4411
688,4411
689,4411
690,4411
691,4401
692,4401
693,4401
694,4401
695,4401
696,4383
697,4383
698,4383
699,4383
700,4383
701,4383
702,4383
703,4383
704,4383
705,4346
706,4346
707,4346
708,4344
709,4344
710,4344
711,4344
712,4344
713,4344
714,4344
715,4344
716,4344
717,4344
718,4344
719,4344
720,4344
721,4344
722,4344
723,4344
724,4344
725,4344
726,4344
727,4344
728,4344
729,4344
730,4344
731,4344
732,4344
733,4344
734,4344
735,4344
736,4344
737,4344
738,4344
739,4344
740,4344
741,4344
742,4344
743,4344
744,4339
745,4339
746,4339
747,4339
748,4339
749,4339
750,4339
751,4339
752,4269
753,4269
754,4269
755,4209
756,4199
757,4199
758,4199
759,4199
760,4199
761,4199
762,4199
763,4199
764,4199
765,4199
766,4199
767,4179
768,4179
769,4179
770,4179
771,4179
772,4179
773,4179
774,4179
775,4164
776,4164
777,4164
778,4164
779,4164
780,4164
781,4164
782,4164
783,4164
784,4164
785,4164
786,4164
787,4164
788,4164
789,4164
790,4164
791,4164
792,4164
793,4164
794,4164
795,4164
796,4164
797,4164
798,4164
799,4164
800,4164
801,4164
802,4164
803,4164
804,4164
805,4164
806,4164
807,4164
808,4164
809,4164
810,4164
811,4164
812,4164
813,4164
814,4164
815,4164
816,4164
817,4164
818,4164
819,4164
820,4164
821,4164
822,4164
823,4164
824,4164
825,4164
826,4164
827,4164
828,4164
829,4164
830,4164
831,4164
832,4164
833,4164
834,4164
835,4164
836,4164
837,4164
838,4164
839,4164
840,4164
841,4164
842,4164
843,4164
844,4164
845,4164
846,4164
847,4164
848,4164
849,4164
850,4156
851,4156
852,4156
853,4156
854,4156
855,4156
856,4156
857,4156
858,4156
859,4156
860,4156
861,4156
862,4156
863,4156
864,4156
865,4156
866,4156
867,4156
868,4156
869,4156
870,4156
871,4156
872,4156
873,4156
874,4156
875,4156
876,4156
877,4156
878,4156
879,4156
880,4156
881,4156
882,4156
883,4156
884,4156
885,4156
886,4156
