Geracao;Iteracao_1;Iteracao_2;Iteracao_3;Iteracao_4;Iteracao_5;Iteracao_6;Iteracao_7;Iteracao_8;Iteracao_9;Iteracao_10;Iteracao_11;Iteracao_12;Iteracao_13;Iteracao_14;Iteracao_15;Iteracao_16;Iteracao_17;Iteracao_18;Iteracao_19;Iteracao_20;Iteracao_21;Iteracao_22;Iteracao_23;Iteracao_24;Iteracao_25;Iteracao_26;Iteracao_27;Iteracao_28;Iteracao_29;Iteracao_30
0;17067;16917;17322;16857;17267;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16812;17387
1;17067;16917;17322;16857;17267;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16812;17387
2;17067;16917;17322;16857;17267;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16812;17387
3;17067;16917;17322;16857;16952;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16812;17387
4;17067;16917;17322;16857;16952;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16662;17387
5;17067;16917;17322;16707;16952;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16662;17387
6;17067;16917;17322;16707;16952;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16662;17387
7;17067;16862;17322;16707;16952;16862;17162;17037;17502;16467;17057;17147;17207;16807;17007;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16662;17387
8;17067;16862;17322;16557;16952;16862;17162;17037;17502;16467;17057;17147;17207;16632;16887;17497;17262;16682;17082;17462;16702;17662;17322;17332;17377;17712;17207;16512;16662;17387
9;17067;16862;17322;16557;16952;16862;17162;17037;17502;16467;17057;17147;17207;16632;16737;17497;17262;16682;17082;17462;16702;17662;17022;17332;17377;17712;17207;16512;16662;17387
10;17067;16862;17322;16557;16642;16862;17162;17037;17502;16167;17057;17147;17207;16632;16737;17497;17262;16682;17082;17462;16702;17662;17022;17182;17377;17712;16877;16512;16512;17387
11;17042;16862;17227;16407;16372;16862;17162;17037;17502;16167;17057;17147;17057;16357;16737;17347;17262;16682;17082;17462;16702;17662;17022;17182;17227;17712;16877;16512;16497;17387
12;17042;16397;17227;16407;16172;16862;17162;17037;17462;15867;17057;17147;17057;16357;16587;17347;17262;16682;17082;17367;16552;17382;17022;17182;17227;17712;16727;16512;16497;17305
13;16791;16397;17157;16283;16172;16672;17162;16737;17462;15867;17057;17122;17057;16357;16587;17347;17262;16682;17082;16862;16552;17382;17007;17182;17227;17712;16727;16362;16497;17145
14;16621;16397;17157;16257;16172;16672;17162;16737;17352;15757;17057;17037;16932;16317;16422;17167;17262;16682;17082;16862;16552;17382;17007;17182;16822;17712;16727;16362;16497;17145
15;16621;16257;17077;16257;16172;16522;17162;16722;17187;15757;16907;17037;16762;16042;16422;17167;17097;16682;16437;16862;16552;17382;17007;17182;16822;17072;16577;16362;16497;17145
16;16621;16257;16902;16117;16172;16522;16997;16722;17187;15757;16892;16887;16757;16042;16422;17167;17097;16517;16437;16862;16552;17100;16722;17022;16797;17072;16577;16212;16497;16787
17;16621;16257;16902;16117;16172;16522;16862;16722;17187;15252;16892;16887;16757;16042;16422;17032;16982;16517;16422;16862;16402;17100;16707;16872;16462;17072;16577;16212;16197;16787
18;16601;16257;16715;16117;16172;16497;16607;16697;17022;15252;16892;16887;16707;15867;16422;17032;16982;16517;16422;16862;16237;17100;16707;16872;16462;17072;16577;16072;16197;16787
19;16451;15932;16715;16117;16172;16412;16607;16697;17022;15102;16892;16887;16542;15867;16422;17032;16982;16517;16422;16862;15937;17100;16557;16872;16462;17072;16577;16072;16197;16787
20;16451;15687;16100;16112;16022;16232;16607;16432;17022;15102;16577;16887;16542;15867;16242;17032;16967;16517;16287;16712;15937;17100;16542;16872;16462;17072;16577;16057;16182;16787
21;16436;15687;16100;15957;15692;16102;16607;16432;17022;15102;16577;16887;16542;15867;16154;17032;16672;16517;15987;16712;15937;16792;16277;16872;16312;16917;16577;15907;16182;16787
22;16436;15362;16100;15957;15692;15932;16607;16432;17022;14952;16427;16887;16457;15852;16092;17032;16672;16367;15987;16562;15937;16792;16277;16872;16162;16917;16127;15607;15907;16787
23;16436;15362;16100;15957;15692;15932;16607;16132;16737;14937;16427;16287;16197;15852;16092;17032;16657;16367;15987;16562;15937;16792;16277;16722;16162;16917;16127;15607;15907;16647
24;16161;15362;16100;15957;15692;15932;16607;16132;16737;14937;16427;16287;16197;15852;15982;17032;16657;16222;15972;16562;15937;16792;16277;16722;16162;16917;16127;15607;15907;16647
25;16157;15212;16100;15957;15692;15787;16607;16132;16737;14927;16427;16287;16007;15852;15612;17032;16657;16197;15357;16562;15787;16492;16262;16722;16162;16917;16127;15607;15905;16647
26;16157;15212;15965;15957;15692;15787;16607;16132;16737;14927;16427;16287;16007;15692;15612;17032;16657;16077;15357;16262;15480;16437;16087;16722;16012;16917;16127;15607;15905;16527
27;15719;15212;15965;15957;15542;15787;16577;16132;16737;14787;16277;16287;16007;15692;15612;16882;16217;16077;15357;16262;15480;16392;16087;16722;16012;16452;16127;15607;15905;16527
28;15719;15212;15965;15762;15382;15787;16457;16097;16582;14787;16277;16003;16007;15692;15600;16882;16217;16077;15357;16247;15480;16392;15647;16722;16012;16452;15977;15307;15905;16384
29;15719;15133;15965;15762;15382;15787;16032;16097;16322;14652;16277;16003;16007;15692;15600;16882;16067;15927;15357;16232;15480;16177;15647;16722;16012;16452;15977;15307;15905;16384
30;15719;15032;15965;15762;15312;15787;16032;16097;16147;14652;15827;16003;15627;15692;15512;16882;16067;15927;15357;16232;15480;16177;15497;16722;16012;16452;15977;15307;15905;16384
31;15719;15032;15900;15465;15312;15787;16032;16047;15992;14622;15677;15987;15582;15542;15325;16738;15902;15927;15357;16082;15185;16077;15497;16722;15732;16452;15977;15307;15902;16269
32;15579;15032;15900;15465;15312;15787;16032;15917;15992;14622;15527;15987;15582;15542;15325;16527;15902;15767;15357;15632;15185;16067;15497;16557;15697;16452;15839;15307;15775;16269
33;15569;14968;15680;15465;15162;15787;16022;15897;15992;14622;15527;15688;15582;15542;15197;16257;15902;15767;15357;15632;15185;16067;15497;16557;15697;16452;15824;15272;15775;16234
