Geracao;Melhor_Fitness
0;16847
1;16847
2;16847
3;16847
4;16847
5;16847
6;16847
7;16847
8;16847
9;16847
10;16847
11;16847
12;16847
13;16847
14;16847
15;16847
16;16847
17;16847
18;16847
19;16847
20;16847
21;16847
22;16847
23;16847
24;16847
25;16847
26;16847
27;16847
28;16847
29;16847
30;16847
31;16847
32;16847
33;16847
34;16847
35;16847
36;16847
37;16847
38;16847
39;16847
40;16847
41;16847
42;16847
43;16847
44;16847
45;16847
46;16847
47;16847
48;16847
49;16847
50;16847
51;16847
52;16847
53;16847
54;16847
55;16847
56;16847
57;16847
58;16847
59;16847
60;16847
61;16847
62;16847
63;16847
64;16847
65;16847
66;16847
67;16847
68;16847
69;16847
70;16847
71;16847
72;16847
73;16847
74;16847
75;16847
76;16847
77;16847
78;16847
79;16847
80;16847
81;16847
82;16847
83;16847
84;16847
85;16847
86;16847
87;16847
88;16847
89;16847
90;16847
91;16847
92;16847
93;16847
94;16847
95;16847
96;16847
97;16847
98;16847
99;16847
100;16847
101;16847
102;16847
103;16847
104;16847
105;16847
106;16847
107;16847
108;16847
109;16547
110;16547
111;16547
112;16547
113;16547
114;16547
115;16547
116;16547
117;16547
118;16547
119;16547
120;16547
121;16547
122;16547
123;16547
124;16547
125;16547
126;16547
127;16547
128;16547
129;16547
130;16547
131;16547
132;16547
133;16547
134;16547
135;16547
136;16547
137;16547
138;16547
139;16547
140;16547
141;16547
142;16547
143;16547
144;16547
145;16547
146;16547
147;16547
148;16547
149;16547
150;16547
151;16547
152;16547
153;16547
154;16547
155;16547
156;16547
157;16547
158;16547
159;16547
160;16547
161;16547
162;16547
163;16547
164;16547
165;16547
166;16547
167;16547
168;16547
169;16547
170;16547
171;16547
172;16547
173;16547
174;16547
175;16547
176;16547
177;16547
178;16547
179;16547
180;16547
181;16547
182;16547
183;16547
184;16547
185;16547
186;16547
187;16547
188;16547
189;16547
190;16547
191;16547
192;16547
193;16547
194;16547
195;16547
196;16547
197;16547
198;16547
199;16547
200;16547
201;16547
202;16547
203;16547
204;16547
205;16547
206;16547
207;16547
208;16547
209;16547
210;16547
211;16547
212;16547
213;16547
214;16547
215;16547
216;16547
217;16547
218;16547
219;16547
220;16547
221;16547
222;16547
223;16547
224;16547
225;16547
226;16547
227;16547
228;16547
229;16547
230;16547
231;16547
232;16547
233;16547
234;16547
235;16547
236;16547
237;16547
238;16547
239;16547
240;16547
241;16547
242;16547
243;16547
244;16547
245;16547
246;16547
247;16547
248;16547
249;16547
250;16547
251;16547
252;16547
253;16547
254;16547
255;16547
256;16547
257;16547
258;16547
259;16547
260;16547
261;16547
262;16547
263;16547
264;16547
265;16547
266;16547
267;16547
268;16547
269;16547
270;16547
271;16547
272;16547
273;16547
274;16547
275;16547
276;16547
277;16547
278;16547
279;16547
280;16547
281;16547
282;16547
283;16547
284;16547
285;16547
286;16547
287;16547
288;16547
289;16547
290;16547
291;16547
292;16547
293;16547
294;16547
295;16547
296;16547
297;16547
298;16547
299;16547
300;16547
301;16547
302;16547
303;16547
304;16547
305;16547
306;16547
307;16547
308;16547
309;16547
310;16547
311;16547
312;16547
313;16547
314;16547
315;16547
316;16547
317;16547
318;16547
319;16547
320;16547
321;16547
322;16547
323;16547
324;16547
325;16547
326;16547
327;16547
328;16547
329;16547
330;16547
331;16547
332;16547
333;16547
334;16547
335;16547
336;16547
337;16547
338;16247
339;16247
340;16247
341;16247
342;16247
343;16247
344;16247
345;16247
346;16247
347;16247
348;16247
349;16247
350;16247
351;16247
352;16247
353;16247
354;16247
355;16247
356;16247
357;16247
358;16247
359;16247
360;16247
361;16247
362;16247
363;16247
364;16247
365;16247
366;16247
367;16247
368;16247
369;16247
370;16247
371;16247
372;16247
373;16247
374;16247
375;16247
376;16247
377;16247
378;16247
379;16247
380;16247
381;16247
382;16247
383;16247
384;16247
385;16247
386;16247
387;16247
388;16247
389;16247
390;16247
391;16247
392;16247
393;16247
394;16247
395;16247
396;16247
397;16247
398;16247
399;16247
400;16247
401;16247
402;16247
403;16247
404;16072
405;16072
406;16072
407;16072
408;16072
409;16072
410;16072
411;16072
412;16072
413;16072
414;16072
415;16072
416;16072
417;15922
418;15922
419;15922
420;15922
421;15922
422;15922
423;15922
424;15922
425;15922
426;15922
427;15622
428;15622
429;15622
430;15622
431;15622
432;15622
433;15622
434;15322
435;15307
436;15307
437;15307
438;15307
439;15307
440;15307
441;15007
442;15007
443;15007
444;15007
445;15007
446;14707
447;14707
448;14607
449;14607
450;14446
451;14446
452;14446
453;14166
454;14166
455;14166
456;14166
457;14016
458;14016
459;13801
460;13456
461;13456
462;13456
463;13156
464;13156
465;13156
466;13156
467;13111
468;13111
469;13111
470;12976
471;12976
472;12976
473;12976
474;12976
475;12976
476;12976
477;12976
478;12976
479;12976
480;12976
481;12976
482;12976
483;12976
484;12976
485;12976
486;12976
487;12976
488;12976
489;12976
490;12976
491;12976
492;12976
493;12976
494;12976
495;12976
496;12976
497;12976
498;12976
499;12976
500;12976
